territory,indicator,year,value,unit,source,data_level,last_updated
Sarawak,GDP (real),2025,153511.242,RM mil,data.gov.my / OpenDOSM,state,2026-09-05
Sabah,GDP growth,2025,5.1,%,data.gov.my / OpenDOSM,state,2026-09-05
Sarawak,GDP growth,2025,3.6,%,data.gov.my / OpenDOSM,state,2026-09-05
Sabah,Hospital beds,2022,5053,beds,data.gov.my / OpenDOSM,state,2026-09-05
Sarawak,Hospital beds,2022,4119,beds,data.gov.my / OpenDOSM,state,2026-09-05
Sabah,School enrolment,2025,523880,students,data.gov.my / OpenDOSM,state,2026-09-05
Sarawak,School enrolment,2025,419203,students,data.gov.my / OpenDOSM,state,2026-09-05
Sabah,Crop production (paddy),2022,107565.0,tonnes,data.gov.my / OpenDOSM,state,2026-09-05
Sarawak,Crop production (paddy),2022,147272.0,tonnes,data.gov.my / OpenDOSM,state,2026-09-05
Sabah,Households,2024,806300,households,data.gov.my / OpenDOSM,state,2026-09-05
Sarawak,Households,2024,656300,households,data.gov.my / OpenDOSM,state,2026-09-05
Sabah,Poverty rate (absolute),2024,17.7,%,data.gov.my / OpenDOSM,state,2026-09-05
Sarawak,Poverty rate (absolute),2024,8.4,%,data.gov.my / OpenDOSM,state,2026-09-05
Sabah,Electricity access,2024,99.25,%,data.gov.my / OpenDOSM,state,2026-09-05
Sarawak,Electricity access,2024,99.06,%,data.gov.my / OpenDOSM,state,2026-09-05
Brunei,Clean water access,2024,100,%,World Bank,national,2026-09-05
Brunei,Unemployment rate,2025,5.277,%,World Bank,national,2026-09-05
Brunei,GDP growth,2025,0.66956214816436,%,World Bank,national,2026-09-05
Brunei,GDP (current US$),2025,15031980994.1121,US$,World Bank,national,2026-09-05
Brunei,Hospital beds (per 1k),2023,3.58,/1k,World Bank,national,2026-09-05
Brunei,Life expectancy,2024,75.501,years,World Bank,national,2026-09-05
Brunei,Forest cover,2023,72.1062618595825,% land,World Bank,national,2026-09-05
Brunei,"School enrolment (primary, gross)",2024,94.8207871800668,%,World Bank,national,2026-09-05
Brunei,"School enrolment (secondary, gross)",2023,91.8381544399811,%,World Bank,national,2026-09-05
Brunei,Adult literacy,2011,96.0899963378906,%,World Bank,national,2026-09-05
Brunei,Basic sanitation access,2024,100,%,World Bank,national,2026-09-05
Brunei,Electricity access,2024,100,%,World Bank,national,2026-09-05
Brunei,Tourist arrivals,2020,1071000,arrivals,World Bank,national,2026-09-05
Brunei,Agricultural land,2023,2.5426944971537,% land,World Bank,national,2026-09-05
Brunei,Population,2021,451721,people,World Bank,national,2026-09-05
Brunei,Population,2022,455370,people,World Bank,national,2026-09-05
Brunei,Population,2023,458949,people,World Bank,national,2026-09-05
Brunei,Population,2024,462721,people,World Bank,national,2026-09-05
Brunei,Population,2025,466330,people,World Bank,national,2026-09-05
Brunei,Internet use,2024,96.29828801,%,World Bank,national,2026-09-05
Sabah,Control of Corruption (WGI),2024,57.9,score/100,World Bank WGI,national,2026-09-05
Sarawak,Control of Corruption (WGI),2024,57.9,score/100,World Bank WGI,national,2026-09-05
Brunei,Control of Corruption (WGI),2024,71.9,score/100,World Bank WGI,national,2026-09-05
Kalimantan,Control of Corruption (WGI),2024,36.8,score/100,World Bank WGI,national,2026-09-05
Sabah,Renewable electricity (% output),2021,17.0,%,World Bank,national,2026-09-05
Sarawak,Renewable electricity (% output),2021,17.0,%,World Bank,national,2026-09-05
Brunei,Renewable electricity (% output),2021,0.02,%,World Bank,national,2026-09-05
Kalimantan,Renewable electricity (% output),2021,15.53,%,World Bank,national,2026-09-05
Malaysia,Poverty headcount <$2.15/day (SDG1),2021,0,%,UN SDG API,national,2026-09-05
Indonesia,Poverty headcount <$2.15/day (SDG1),2025,4,%,UN SDG API,national,2026-09-05
Kalimantan Barat,Unemployment rate,2025,4.82,%,BPS Indonesia,province,2026-09-05
Kalimantan Barat,Mean years schooling (RLS),2025,8.07,years,BPS Indonesia,province,2026-09-05
Kalimantan Barat,GDP growth (PDRB),2023,4.46,%,BPS Indonesia,province,2026-09-05
Kalimantan Barat,Crop production (paddy),2025,774908,tonnes,BPS Indonesia,province,2026-09-05
Kalimantan Barat,Tourist trips (domestic),2025,903765,trips,BPS Indonesia,province,2026-09-05
Kalimantan Barat,Life expectancy,2024,70.13,years,BPS Indonesia,province,2026-09-05
Kalimantan Tengah,Unemployment rate,2025,3.97,%,BPS Indonesia,province,2026-09-05
Kalimantan Tengah,Poverty rate (P0),2025,5.19,%,BPS Indonesia,province,2026-09-05
Kalimantan Tengah,Mean years schooling (RLS),2025,8.96,years,BPS Indonesia,province,2026-09-05
Kalimantan Tengah,Crop production (paddy),2025,333428.63,tonnes,BPS Indonesia,province,2026-09-05
Kalimantan Tengah,Households,2019,704473,households,BPS Indonesia,province,2026-09-05
Kalimantan Tengah,Tourist trips (domestic),2025,505991,trips,BPS Indonesia,province,2026-09-05
Kalimantan Tengah,Life expectancy,2025,74.01,years,BPS Indonesia,province,2026-09-05
Kalimantan Selatan,Unemployment rate,2025,3.94,%,BPS Indonesia,province,2026-09-05
Kalimantan Selatan,Poverty rate (P0),2025,3.84,%,BPS Indonesia,province,2026-09-05
Kalimantan Selatan,Mean years schooling (RLS),2025,8.81,years,BPS Indonesia,province,2026-09-05
Kalimantan Selatan,Crop production (paddy),2025,290332.45,tonnes,BPS Indonesia,province,2026-09-05
Kalimantan Selatan,Tourist trips (domestic),2025,1822941,trips,BPS Indonesia,province,2026-09-05
Kalimantan Selatan,Life expectancy,2024,69.65,years,BPS Indonesia,province,2026-09-05
Kalimantan Timur,Unemployment rate,2025,5.18,%,BPS Indonesia,province,2026-09-05
Kalimantan Timur,Poverty rate (P0),2025,5.17,%,BPS Indonesia,province,2026-09-05
Kalimantan Timur,Mean years schooling (RLS),2025,10.1,years,BPS Indonesia,province,2026-09-05
Kalimantan Timur,GDP growth (PDRB),2025,4.53,%,BPS Indonesia,province,2026-09-05
Kalimantan Timur,Electrification ratio,2022,93.09,%,BPS Indonesia,province,2026-09-05
Kalimantan Timur,Crop production (paddy),2023,215290.58,tonnes,BPS Indonesia,province,2026-09-05
Kalimantan Timur,Households,2019,925303,households,BPS Indonesia,province,2026-09-05
Kalimantan Timur,Tourist trips (domestic),2025,1386611,trips,BPS Indonesia,province,2026-09-05
Kalimantan Timur,Life expectancy,2024,75.03,years,BPS Indonesia,province,2026-09-05
Kalimantan Utara,Unemployment rate,2025,3.85,%,BPS Indonesia,province,2026-09-05
Kalimantan Utara,Poverty rate (P0),2024,6.32,%,BPS Indonesia,province,2026-09-05
Kalimantan Utara,Mean years schooling (RLS),2025,9.44,years,BPS Indonesia,province,2026-09-05
Kalimantan Utara,Crop production (paddy),2023,6632.07,tonnes,BPS Indonesia,province,2026-09-05
Kalimantan Utara,Tourist trips (domestic),2025,122028,trips,BPS Indonesia,province,2026-09-05
Kalimantan Utara,Life expectancy,2024,72.73,years,BPS Indonesia,province,2026-09-05
Kalimantan Barat,Clean water access,2025,79.47,%,BPS Indonesia (national by-province),province,2026-09-05
Kalimantan Tengah,Clean water access,2025,71.36,%,BPS Indonesia (national by-province),province,2026-09-05
Kalimantan Selatan,Clean water access,2025,78.27,%,BPS Indonesia (national by-province),province,2026-09-05
Kalimantan Timur,Clean water access,2025,94.23,%,BPS Indonesia (national by-province),province,2026-09-05
Kalimantan Utara,Clean water access,2025,91.59,%,BPS Indonesia (national by-province),province,2026-09-05
Sabah,Forest extent (2000),2000,6684138,ha,Global Forest Watch,satellite,2026-09-05
Sabah,Tree cover loss (cumulative),2001-2023,1803226,ha,Global Forest Watch,satellite,2026-09-05
Sarawak,Forest extent (2000),2000,11643005,ha,Global Forest Watch,satellite,2026-09-05
Sarawak,Tree cover loss (cumulative),2001-2023,3183066,ha,Global Forest Watch,satellite,2026-09-05
Brunei,Forest extent (2000),2000,529339,ha,Global Forest Watch,satellite,2026-09-05
Brunei,Tree cover loss (cumulative),2001-2023,30486,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Barat,Forest extent (2000),2000,13640415,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Barat,Tree cover loss (cumulative),2001-2023,3828473,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Selatan,Forest extent (2000),2000,2818022,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Selatan,Tree cover loss (cumulative),2001-2023,854252,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Tengah,Forest extent (2000),2000,14220872,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Tengah,Tree cover loss (cumulative),2001-2023,3596740,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Timur,Forest extent (2000),2000,18555914,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Timur,Tree cover loss (cumulative),2001-2023,3633432,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Utara,Forest extent (2000),2000,689817,ha,Global Forest Watch,satellite,2026-09-05
Kalimantan Utara,Tree cover loss (cumulative),2001-2023,146903,ha,Global Forest Watch,satellite,2026-09-05
Sabah,"Fire alerts (VIIRS, annual)",2025,697,count,Global Forest Watch (VIIRS),satellite,2026-09-05
Sarawak,"Fire alerts (VIIRS, annual)",2025,3326,count,Global Forest Watch (VIIRS),satellite,2026-09-05
Brunei,"Fire alerts (VIIRS, annual)",2025,128,count,Global Forest Watch (VIIRS),satellite,2026-09-05
Kalimantan Barat,"Fire alerts (VIIRS, annual)",2025,21611,count,Global Forest Watch (VIIRS),satellite,2026-09-05
Kalimantan Selatan,"Fire alerts (VIIRS, annual)",2025,1987,count,Global Forest Watch (VIIRS),satellite,2026-09-05
Kalimantan Tengah,"Fire alerts (VIIRS, annual)",2025,3895,count,Global Forest Watch (VIIRS),satellite,2026-09-05
Kalimantan Utara,"Fire alerts (VIIRS, annual)",2025,159,count,Global Forest Watch (VIIRS),satellite,2026-09-05
Sabah,Active fire hotspots (24h),2026-09-04,13,detections,NASA FIRMS (VIIRS); 3885/3913 bbox detections spatially matched,satellite,2026-09-05
Sarawak,Active fire hotspots (24h),2026-09-04,34,detections,NASA FIRMS (VIIRS); 3885/3913 bbox detections spatially matched,satellite,2026-09-05
Brunei,Active fire hotspots (24h),2026-09-04,1,detections,NASA FIRMS (VIIRS); 3885/3913 bbox detections spatially matched,satellite,2026-09-05
Kalimantan,Active fire hotspots (24h),2026-09-04,3837,detections,NASA FIRMS (VIIRS); 3885/3913 bbox detections spatially matched,satellite,2026-09-05
Borneo (all),Active fire hotspots (24h),2026-09-04,3913,detections,NASA FIRMS (VIIRS); 3885/3913 bbox detections spatially matched,satellite,2026-09-05
Sabah,"Air quality (AQI, live)",2026,99,AQI,WAQI / aqicn,city,2026-09-05
Sarawak,"Air quality (AQI, live)",2026,282,AQI,WAQI / aqicn,city,2026-09-05
Brunei,"Air quality (AQI, live)",2026,116,AQI,WAQI / aqicn,city,2026-09-05
Kalimantan Barat,"Air quality (AQI, live)",2023,62,AQI,WAQI / aqicn,city,2026-09-05
Kalimantan Timur,"Air quality (AQI, live)",2026,81,AQI,WAQI / aqicn,city,2026-09-05
Kalimantan Tengah,"Air quality (AQI, live)",2026,213,AQI,WAQI / aqicn,city,2026-09-05
Kalimantan,"Air quality (AQI, live)",2026,119,AQI,WAQI / aqicn (mean of 3 Kalimantan cities),city,2026-09-05
Sabah,UNESCO World Heritage Sites,2026,1,count,UNESCO World Heritage List (whc.unesco.org),state,2026-09-05
Sarawak,UNESCO World Heritage Sites,2026,2,count,UNESCO World Heritage List (whc.unesco.org),state,2026-09-05
Brunei,UNESCO World Heritage Sites,2026,0,count,UNESCO World Heritage List (whc.unesco.org),national,2026-09-05
Kalimantan,UNESCO World Heritage Sites,2026,0,count,UNESCO World Heritage List (whc.unesco.org),territory,2026-09-05
Sabah,Mean years schooling (RLS),2023,8.7,years,Global Data Lab Subnational HDI (globaldatalab.org),modeled,2026-09-05
Sarawak,Mean years schooling (RLS),2023,8.7,years,Global Data Lab Subnational HDI (globaldatalab.org),modeled,2026-09-05
Brunei,Mean years schooling (RLS),2023,9.28,years,Global Data Lab Subnational HDI (globaldatalab.org),modeled,2026-09-05
Kalimantan Barat,Electrification ratio,2024,99.85,%,"Indonesia Ministry of Energy and Mineral Resources (ESDM), Electricity Statistics 2024, Table 7, printed page 9; PLN + non-PLN households",province,2026-09-05
Kalimantan Tengah,Electrification ratio,2024,98.05,%,"Indonesia Ministry of Energy and Mineral Resources (ESDM), Electricity Statistics 2024, Table 7, printed page 9; PLN + non-PLN households",province,2026-09-05
Kalimantan Selatan,Electrification ratio,2024,99.99,%,"Indonesia Ministry of Energy and Mineral Resources (ESDM), Electricity Statistics 2024, Table 7, printed page 9; PLN + non-PLN households",province,2026-09-05
Kalimantan Timur,Electrification ratio,2024,99.99,%,"Indonesia Ministry of Energy and Mineral Resources (ESDM), Electricity Statistics 2024, Table 7, printed page 9; PLN + non-PLN households",province,2026-09-05
