# fetched=2026-07-09
Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,msch
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,1998,6.327
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,1999,6.467
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2000,6.6
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2001,6.726
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2002,6.846
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2003,6.96
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2004,7.222
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2005,7.482
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2006,7.742
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2007,7.143
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2008,7.22
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2009,7.491
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2010,7.618
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2011,7.746
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2012,7.869
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2013,7.951
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2014,8.033
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2015,8.129
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2016,8.184
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2017,8.433
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2018,8.351
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2019,8.556
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2020,8.761
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2021,8.901
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2022,8.901
Indonesia,Asia/Pacific,IDN,Subnat,IDNr115,Banten,2023,8.901
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1990,3.39
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1991,3.678
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1992,3.965
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1993,4.253
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1994,4.54
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1995,4.828
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1996,5.115
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1997,5.403
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1998,5.724
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,1999,6.047
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2000,6.371
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2001,6.696
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2002,7.022
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2003,7.35
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2004,7.62
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2005,7.89
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2006,8.158
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2007,7.522
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2008,7.55
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2009,7.78
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2010,7.861
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2011,7.943
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2012,8.021
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2013,8.121
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2014,8.22
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2015,8.334
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2016,8.406
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2017,8.677
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2018,8.593
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2019,8.804
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2020,9.014
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2021,9.159
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2022,9.159
Indonesia,Asia/Pacific,IDN,Subnat,IDNr107,Bengkulu,2023,9.159
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1990,2.751
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1991,2.984
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1992,3.217
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1993,3.451
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1994,3.684
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1995,3.917
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1996,4.151
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1997,4.384
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1998,4.631
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",1999,4.879
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2000,5.127
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2001,5.376
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2002,5.626
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2003,5.876
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2004,6.163
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2005,6.452
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2006,6.743
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2007,6.282
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2008,6.329
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2009,6.546
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2010,6.638
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2011,6.73
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2012,6.819
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2013,6.901
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2014,6.984
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2015,7.078
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2016,7.137
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2017,7.365
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2018,7.294
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2019,7.472
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2020,7.651
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2021,7.774
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2022,7.774
Indonesia,Asia/Pacific,IDN,Subnat,IDNr112,"Central Java",2023,7.774
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1990,3.578
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1991,3.881
